L9/OLI2 RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-9/landsat-9-instruments/oli-2-design/oli-2-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.427	3.68E-04	CA	1
0.428	7.22E-04	CA	1
0.429	2.06E-03	CA	1
0.43	3.61E-03	CA	1
0.431	8.77E-03	CA	1
0.432	2.22E-02	CA	1
0.433	7.98E-02	CA	1
0.434	2.34E-01	CA	1
0.435	4.96E-01	CA	1
0.436	7.65E-01	CA	1
0.437	9.38E-01	CA	1
0.438	9.76E-01	CA	1
0.439	9.86E-01	CA	1
0.44	9.95E-01	CA	1
0.441	9.88E-01	CA	1
0.442	9.71E-01	CA	1
0.443	9.67E-01	CA	1
0.444	9.76E-01	CA	1
0.445	9.83E-01	CA	1
0.446	0.98891443	CA	1
0.447	1	CA	1
0.448	0.98661834	CA	1
0.449	0.87390488	CA	1
0.45	0.64063799	CA	1
0.451	0.33599678	CA	1
0.452	0.13211244	CA	1
0.453	0.04911467	CA	1
0.454	0.01938601	CA	1
0.455	0.00847867	CA	1
0.456	0.00360224	CA	1
0.457	0.00169454	CA	1
0.458	0.00077237	CA	1
0.459	0.00036698	CA	1
0.436	0.0000641	Blue	2
0.437	0.0000879	Blue	2
0.438	0.00012288	Blue	2
0.439	0.00017756	Blue	2
0.44	0.00026465	Blue	2
0.441	0.00040609	Blue	2
0.442	0.00064757	Blue	2
0.443	0.0010627	Blue	2
0.444	0.00180834	Blue	2
0.445	0.00423224	Blue	2
0.446	0.00733809	Blue	2
0.447	0.0132065	Blue	2
0.448	0.02738087	Blue	2
0.449	0.06140049	Blue	2
0.45	0.12810045	Blue	2
0.451	0.28426054	Blue	2
0.452	0.52622634	Blue	2
0.453	0.75461823	Blue	2
0.454	0.85015893	Blue	2
0.455	0.87050748	Blue	2
0.456	0.87301528	Blue	2
0.457	0.87386012	Blue	2
0.458	0.87411314	Blue	2
0.459	0.87535989	Blue	2
0.46	0.87936622	Blue	2
0.461	0.88182181	Blue	2
0.462	0.88110375	Blue	2
0.463	0.88239449	Blue	2
0.464	0.88807994	Blue	2
0.465	0.89365971	Blue	2
0.466	0.89804703	Blue	2
0.467	0.90057266	Blue	2
0.468	0.89131784	Blue	2
0.469	0.86657351	Blue	2
0.47	0.8358435	Blue	2
0.471	0.81551754	Blue	2
0.472	0.8177281	Blue	2
0.473	0.83361632	Blue	2
0.474	0.85324347	Blue	2
0.475	0.86751264	Blue	2
0.476	0.87968469	Blue	2
0.477	0.8864091	Blue	2
0.478	0.89245307	Blue	2
0.479	0.90207016	Blue	2
0.48	0.91684681	Blue	2
0.481	0.93018711	Blue	2
0.482	0.93724215	Blue	2
0.483	0.94008964	Blue	2
0.484	0.94266725	Blue	2
0.485	0.94259858	Blue	2
0.486	0.94212455	Blue	2
0.487	0.94310826	Blue	2
0.488	0.94514865	Blue	2
0.489	0.94699287	Blue	2
0.49	0.94705468	Blue	2
0.491	0.94369674	Blue	2
0.492	0.92798311	Blue	2
0.493	0.90826762	Blue	2
0.494	0.89631408	Blue	2
0.495	0.90117168	Blue	2
0.496	0.92790043	Blue	2
0.497	0.95433879	Blue	2
0.498	0.95914739	Blue	2
0.499	0.94807255	Blue	2
0.5	0.95188999	Blue	2
0.501	0.96618539	Blue	2
0.502	0.98983949	Blue	2
0.503	1	Blue	2
0.504	0.98322678	Blue	2
0.505	0.95298815	Blue	2
0.506	0.92356867	Blue	2
0.507	0.91930556	Blue	2
0.508	0.94349515	Blue	2
0.509	0.95687258	Blue	2
0.51	0.92322963	Blue	2
0.511	0.79937828	Blue	2
0.512	0.41356644	Blue	2
0.513	0.11275553	Blue	2
0.514	0.03274055	Blue	2
0.515	0.01292293	Blue	2
0.516	0.00580021	Blue	2
0.517	0.00378357	Blue	2
0.518	0.00263001	Blue	2
0.519	0.00204936	Blue	2
0.52	0.0016022	Blue	2
0.521	0.00113626	Blue	2
0.522	0.00072538	Blue	2
0.523	0.00045327	Blue	2
0.524	0.00030357	Blue	2
0.525	0.00022787	Blue	2
0.526	0.00019309	Blue	2
0.527	0.00018524	Blue	2
0.528	0.00019598	Blue	2
0.529	0.00021502	Blue	2
0.53	0.00022982	Blue	2
0.512	0.00032837	Green	3
0.513	0.00040286	Green	3
0.514	0.0004889	Green	3
0.515	0.00058934	Green	3
0.516	0.00071741	Green	3
0.517	0.00087833	Green	3
0.518	0.00109091	Green	3
0.519	0.00138202	Green	3
0.52	0.00179561	Green	3
0.521	0.0031737	Green	3
0.522	0.0043149	Green	3
0.523	0.00613501	Green	3
0.524	0.00918434	Green	3
0.525	0.01332811	Green	3
0.526	0.02006346	Green	3
0.527	0.03120767	Green	3
0.528	0.04959156	Green	3
0.529	0.0839209	Green	3
0.53	0.14227405	Green	3
0.531	0.23764506	Green	3
0.532	0.38256499	Green	3
0.533	0.52805549	Green	3
0.534	0.72555327	Green	3
0.535	0.86100316	Green	3
0.536	0.91004026	Green	3
0.537	0.951415	Green	3
0.538	0.96025926	Green	3
0.539	0.96094787	Green	3
0.54	0.95796889	Green	3
0.541	0.95961404	Green	3
0.542	0.96103942	Green	3
0.543	0.96782357	Green	3
0.544	0.9674781	Green	3
0.545	0.97103971	Green	3
0.546	0.97596765	Green	3
0.547	0.96995008	Green	3
0.548	0.96583647	Green	3
0.549	0.96272808	Green	3
0.55	0.97035348	Green	3
0.551	0.97657537	Green	3
0.552	0.98478532	Green	3
0.553	0.9922418	Green	3
0.554	0.99788576	Green	3
0.555	0.99755067	Green	3
0.556	0.99513662	Green	3
0.557	0.99290431	Green	3
0.558	0.99221069	Green	3
0.559	0.99147564	Green	3
0.56	0.99039567	Green	3
0.561	0.98744887	Green	3
0.562	0.98513204	Green	3
0.563	0.98482645	Green	3
0.564	0.98690718	Green	3
0.565	0.99114877	Green	3
0.566	0.99476624	Green	3
0.567	9.94E-01	Green	3
0.568	9.91E-01	Green	3
0.569	9.87E-01	Green	3
0.57	9.84E-01	Green	3
0.571	9.83E-01	Green	3
0.572	9.87E-01	Green	3
0.573	9.92E-01	Green	3
0.574	9.96E-01	Green	3
0.575	9.99E-01	Green	3
0.576	1.00E+00	Green	3
0.577	9.99E-01	Green	3
0.578	9.98E-01	Green	3
0.579	9.96E-01	Green	3
0.58	9.89E-01	Green	3
0.581	9.74E-01	Green	3
0.582	9.49E-01	Green	3
0.583	9.35E-01	Green	3
0.584	9.29E-01	Green	3
0.585	9.32E-01	Green	3
0.586	9.27E-01	Green	3
0.587	8.64E-01	Green	3
0.588	7.11E-01	Green	3
0.589	5.16E-01	Green	3
0.59	3.45E-01	Green	3
0.591	2.16E-01	Green	3
0.592	1.21E-01	Green	3
0.593	5.83E-02	Green	3
0.594	2.69E-02	Green	3
0.595	1.24E-02	Green	3
0.596	6.08E-03	Green	3
0.597	3.77E-03	Green	3
0.598	2.02E-03	Green	3
0.599	1.15E-03	Green	3
0.6	6.93E-04	Green	3
0.601	4.41E-04	Green	3
0.602	2.96E-04	Green	3
0.603	2.11E-04	Green	3
0.604	1.60E-04	Green	3
0.605	0.00012726	Green	3
0.606	0.00010823	Green	3
0.607	0.00009787	Green	3
0.608	0.0000954	Green	3
0.609	0.00010035	Green	3
0.61	0.00011262	Green	3
0.625	0.00052217	Red	4
0.626	0.00080255	Red	4
0.627	0.00127569	Red	4
0.628	0.00211028	Red	4
0.629	0.00370259	Red	4
0.63	0.00813655	Red	4
0.631	0.01448322	Red	4
0.632	0.02730471	Red	4
0.633	0.06150362	Red	4
0.634	0.12960456	Red	4
0.635	0.27599216	Red	4
0.636	0.50833505	Red	4
0.637	0.77823377	Red	4
0.638	0.93229699	Red	4
0.639	0.96630949	Red	4
0.64	0.98264039	Red	4
0.641	0.98610568	Red	4
0.642	0.98616272	Red	4
0.643	0.98130625	Red	4
0.644	0.97365528	Red	4
0.645	0.96917254	Red	4
0.646	0.97131443	Red	4
0.647	0.98079836	Red	4
0.648	0.99271876	Red	4
0.649	1	Red	4
0.65	0.99686712	Red	4
0.651	0.98542011	Red	4
0.652	0.97099334	Red	4
0.653	0.96106452	Red	4
0.654	0.96065092	Red	4
0.655	0.96868747	Red	4
0.656	0.98070163	Red	4
0.657	0.98551208	Red	4
0.658	0.98893887	Red	4
0.659	0.98082989	Red	4
0.66	0.96791947	Red	4
0.661	0.96308017	Red	4
0.662	0.9632839	Red	4
0.663	0.97127014	Red	4
0.664	0.98161477	Red	4
0.665	0.98756588	Red	4
0.666	0.98632258	Red	4
0.667	0.98053038	Red	4
0.668	0.9798553	Red	4
0.669	0.98061383	Red	4
0.67	0.96493137	Red	4
0.671	0.85955077	Red	4
0.672	0.66807359	Red	4
0.673	0.41698042	Red	4
0.674	0.21568851	Red	4
0.675	0.10535625	Red	4
0.676	0.05208358	Red	4
0.677	0.02525648	Red	4
0.678	0.01293051	Red	4
0.679	0.0067002	Red	4
0.68	0.00366779	Red	4
0.681	0.00210889	Red	4
0.682	0.00125278	Red	4
0.683	0.00098495	Red	4
0.684	0.00070233	Red	4
0.685	0.00054765	Red	4
0.686	0.00040268	Red	4
0.687	0.00034113	Red	4
0.688	0.00027893	Red	4
0.689	0.00026856	Red	4
0.69	0.00016362	Red	4
0.691	0.00013298	Red	4
0.829	0.00045004	Nir	5
0.83	0.00047554	Nir	5
0.831	0.0005924	Nir	5
0.832	0.00071486	Nir	5
0.833	0.00083731	Nir	5
0.834	0.00095976	Nir	5
0.835	0.00108221	Nir	5
0.836	0.00124527	Nir	5
0.837	0.00159663	Nir	5
0.838	0.00209522	Nir	5
0.839	0.00282196	Nir	5
0.84	0.00389035	Nir	5
0.841	0.00557772	Nir	5
0.842	0.00840453	Nir	5
0.843	0.0121997	Nir	5
0.844	0.01910023	Nir	5
0.845	0.03112408	Nir	5
0.846	0.0518628	Nir	5
0.847	0.09260266	Nir	5
0.848	0.1572693	Nir	5
0.849	0.27197644	Nir	5
0.85	0.44460031	Nir	5
0.851	0.64932525	Nir	5
0.852	0.83474088	Nir	5
0.853	0.94093359	Nir	5
0.854	0.98152208	Nir	5
0.855	0.99064982	Nir	5
0.856	0.98923784	Nir	5
0.857	0.98816001	Nir	5
0.858	0.98943096	Nir	5
0.859	0.99220061	Nir	5
0.86	0.99498791	Nir	5
0.861	0.99694198	Nir	5
0.862	0.99800861	Nir	5
0.863	0.99821723	Nir	5
0.864	0.99814546	Nir	5
0.865	0.99809587	Nir	5
0.866	0.99818242	Nir	5
0.867	0.99900395	Nir	5
0.868	0.99929279	Nir	5
0.869	0.99940193	Nir	5
0.87	0.99973387	Nir	5
0.871	0.9998185	Nir	5
0.872	1	Nir	5
0.873	0.9999913	Nir	5
0.874	0.99643683	Nir	5
0.875	0.97451699	Nir	5
0.876	0.9297142	Nir	5
0.877	0.83448619	Nir	5
0.878	0.68116772	Nir	5
0.879	0.49675167	Nir	5
0.88	0.31920305	Nir	5
0.881	0.19073001	Nir	5
0.882	0.11139899	Nir	5
0.883	0.06462797	Nir	5
0.884	0.03681539	Nir	5
0.885	0.02192838	Nir	5
0.886	0.01321336	Nir	5
0.887	0.00764328	Nir	5
0.888	0.00490463	Nir	5
0.889	0.00311586	Nir	5
0.89	0.00199918	Nir	5
0.891	0.00132245	Nir	5
0.892	0.00088339	Nir	5
0.893	0.00059439	Nir	5
0.894	0.00041175	Nir	5
0.895	0.00032689	Nir	5
0.896	0.00026968	Nir	5
0.897	0.00021248	Nir	5
0.898	0.00015527	Nir	5
0.899	0.00009807	Nir	5
0.9	0.00007605	Nir	5
1.515	0.00102868	swir1	6
1.516	0.00111525	swir1	6
1.517	0.00121016	swir1	6
1.518	0.0013186	swir1	6
1.519	0.00144451	swir1	6
1.52	0.00158035	swir1	6
1.521	0.00173374	swir1	6
1.522	0.00192254	swir1	6
1.523	0.00212096	swir1	6
1.524	0.00232666	swir1	6
1.525	0.00257729	swir1	6
1.526	0.00287014	swir1	6
1.527	0.00318403	swir1	6
1.528	0.00355008	swir1	6
1.529	0.00395633	swir1	6
1.53	0.00441957	swir1	6
1.531	0.00496607	swir1	6
1.532	0.00552726	swir1	6
1.533	0.00624686	swir1	6
1.534	0.00699085	swir1	6
1.535	0.00791399	swir1	6
1.536	0.00878794	swir1	6
1.537	0.0095772	swir1	6
1.538	0.01062994	swir1	6
1.539	0.01208038	swir1	6
1.54	0.01363731	swir1	6
1.541	0.01564604	swir1	6
1.542	0.01773277	swir1	6
1.543	0.02050976	swir1	6
1.544	0.02335322	swir1	6
1.545	0.02701552	swir1	6
1.546	0.03067782	swir1	6
1.547	0.03585456	swir1	6
1.548	0.04147628	swir1	6
1.549	0.04862727	swir1	6
1.55	0.05693988	swir1	6
1.551	0.0665569	swir1	6
1.552	0.07723074	swir1	6
1.553	0.08889236	swir1	6
