S2A/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.412	1.78E-03	B1	1
0.413	4.07E-03	B1	1
0.414	3.63E-03	B1	1
0.415	3.52E-03	B1	1
0.416	5.73E-03	B1	1
0.417	3.78E-03	B1	1
0.418	2.64E-03	B1	1
0.419	1.26E-03	B1	1
0.42	1.99E-03	B1	1
0.421	1.37E-03	B1	1
0.422	1.25E-03	B1	1
0.423	4.63E-04	B1	1
0.424	8.14E-04	B1	1
0.425	1.38E-03	B1	1
0.426	1.49E-03	B1	1
0.427	1.82E-03	B1	1
0.428	1.63E-03	B1	1
0.429	4.39E-03	B1	1
0.43	2.90E-02	B1	1
0.431	0.118745933	B1	1
0.432	0.323875058	B1	1
0.433	0.572819207	B1	1
0.434	0.714727494	B1	1
0.435	0.761967778	B1	1
0.436	0.789297016	B1	1
0.437	0.808623866	B1	1
0.438	0.810893815	B1	1
0.439	0.824198756	B1	1
0.44	0.854158107	B1	1
0.441	0.870790877	B1	1
0.442	0.887310969	B1	1
0.443	0.926199242	B1	1
0.444	0.982281495	B1	1
0.445	1	B1	1
0.446	0.975238202	B1	1
0.447	0.93596338	B1	1
0.448	0.889971481	B1	1
0.449	0.850210477	B1	1
0.45	0.825694526	B1	1
0.451	0.783902388	B1	1
0.452	0.614174215	B1	1
0.453	0.330071087	B1	1
0.454	0.124108313	B1	1
0.455	0.04365694	B1	1
0.456	0.014749595	B1	1
0.456	0.04255531	B2	2
0.457	0.0722983	B2	2
0.458	0.15374322	B2	2
0.459	0.32799225	B2	2
0.46	0.55336788	B2	2
0.461	0.71011166	B2	2
0.462	0.75285179	B2	2
0.463	0.75232691	B2	2
0.464	0.75668081	B2	2
0.465	0.76326948	B2	2
0.466	0.76239425	B2	2
0.467	0.7852515	B2	2
0.468	0.81546669	B2	2
0.469	0.86179176	B2	2
0.47	0.89282599	B2	2
0.471	0.9195221	B2	2
0.472	0.91900649	B2	2
0.473	0.91315754	B2	2
0.474	0.90035366	B2	2
0.475	0.88989693	B2	2
0.476	0.8823246	B2	2
0.477	0.87606118	B2	2
0.478	0.88429987	B2	2
0.479	0.90695544	B2	2
0.48	0.93232085	B2	2
0.481	0.93947252	B2	2
0.482	0.94383543	B2	2
0.483	0.92204086	B2	2
0.484	0.8860231	B2	2
0.485	0.84743609	B2	2
0.486	0.81251687	B2	2
0.487	0.7823971	B2	2
0.488	0.7731087	B2	2
0.489	0.77209054	B2	2
0.49	0.78742652	B2	2
0.491	0.81217177	B2	2
0.492	0.84605052	B2	2
0.493	0.88767996	B2	2
0.494	0.92793997	B2	2
0.495	0.95069235	B2	2
0.496	0.96573311	B2	2
0.497	0.96938253	B2	2
0.498	0.96570294	B2	2
0.499	0.95832003	B2	2
0.5	0.95405064	B2	2
0.501	0.95178268	B2	2
0.502	0.95699722	B2	2
0.503	0.96556515	B2	2
0.504	0.9770514	B2	2
0.505	0.97709574	B2	2
0.506	0.97436606	B2	2
0.507	0.95903183	B2	2
0.508	0.93506318	B2	2
0.509	0.90190134	B2	2
0.51	0.87165792	B2	2
0.511	0.84402444	B2	2
0.512	0.82280852	B2	2
0.513	0.81536043	B2	2
0.514	0.82057639	B2	2
0.515	0.8395149	B2	2
0.516	0.86992171	B2	2
0.517	0.91526205	B2	2
0.518	0.96067028	B2	2
0.519	0.99163699	B2	2
0.52	1	B2	2
0.521	0.98356097	B2	2
0.522	0.91130763	B2	2
0.523	0.74018256	B2	2
0.524	0.50395858	B2	2
0.525	0.3050155	B2	2
0.526	0.18004605	B2	2
0.527	0.10738342	B2	2
0.528	0.06593592	B2	2
0.529	0.04207746	B2	2
0.53	0.02662129	B2	2
0.531	0.0143396	B2	2
0.532	0.00265779	B2	2
0.533	0.00081822	B2	2
0.538	0.01448181	B3	3
0.539	0.03422251	B3	3
0.54	0.07346335	B3	3
0.541	0.15444843	B3	3
0.542	0.31661425	B3	3
0.543	0.55322279	B3	3
0.544	0.74859406	B3	3
0.545	0.84890306	B3	3
0.546	0.89772216	B3	3
0.547	0.9215368	B3	3
0.548	0.92572845	B3	3
0.549	0.91122688	B3	3
0.55	0.88818924	B3	3
0.551	0.86523756	B3	3
0.552	0.84718187	B3	3
0.553	0.8387572	B3	3
0.554	0.84459081	B3	3
0.555	0.86219653	B3	3
0.556	0.88838714	B3	3
0.557	0.92443236	B3	3
0.558	0.96017974	B3	3
0.559	0.98685516	B3	3
0.56	1	B3	3
0.561	0.9986008	B3	3
0.562	0.98076472	B3	3
0.563	0.94522089	B3	3
0.564	0.8981778	B3	3
0.565	0.85580323	B3	3
0.566	0.81841734	B3	3
0.567	0.78862048	B3	3
0.568	0.76460653	B3	3
0.569	0.74963745	B3	3
0.57	0.75055111	B3	3
0.571	0.76137888	B3	3
0.572	0.78244479	B3	3
0.573	0.79890086	B3	3
0.574	0.81016957	B3	3
0.575	0.81408886	B3	3
0.576	0.77358596	B3	3
0.577	0.62881065	B3	3
0.578	0.40397555	B3	3
0.579	0.21542098	B3	3
0.58	0.10715281	B3	3
0.581	0.04792877	B3	3
0.582	0.01848693	B3	3
0.583	0.00108588	B3	3
0.646	0.00141521	B4	4
0.647	0.02590238	B4	4
0.648	0.11651178	B4	4
0.649	0.39088616	B4	4
0.65	0.74959342	B4	4
0.651	0.94485805	B4	4
0.652	0.98011173	B4	4
0.653	0.99406309	B4	4
0.654	1	B4	4
0.655	0.99545475	B4	4
0.656	0.99052772	B4	4
0.657	0.97733476	B4	4
0.658	0.94055988	B4	4
0.659	0.87894956	B4	4
0.66	8.16E-01	B4	4
0.661	7.73E-01	B4	4
0.662	7.54E-01	B4	4
0.663	7.60E-01	B4	4
0.664	7.83E-01	B4	4
0.665	8.10E-01	B4	4
0.666	8.36E-01	B4	4
0.667	8.61E-01	B4	4
0.668	8.86E-01	B4	4
0.669	9.11E-01	B4	4
0.67	9.34E-01	B4	4
0.671	9.50E-01	B4	4
0.672	9.59E-01	B4	4
0.673	9.60E-01	B4	4
0.674	9.59E-01	B4	4
0.675	9.58E-01	B4	4
0.676	9.55E-01	B4	4
0.677	9.44E-01	B4	4
0.678	8.95E-01	B4	4
0.679	7.44E-01	B4	4
0.68	4.77E-01	B4	4
0.681	2.30E-01	B4	4
0.682	8.01E-02	B4	4
0.683	2.62E-02	B4	4
0.684	4.15E-03	B4	4
0.695	2.84E-02	B5	5
0.696	1.24E-01	B5	5
0.697	3.94E-01	B5	5
0.698	7.61E-01	B5	5
0.699	9.71E-01	B5	5
0.7	9.99E-01	B5	5
0.701	1.00E+00	B5	5
0.702	9.94E-01	B5	5
0.703	9.83E-01	B5	5
0.704	9.67E-01	B5	5
0.705	9.48E-01	B5	5
0.706	9.27E-01	B5	5
0.707	9.04E-01	B5	5
0.708	0.88614713	B5	5
0.709	0.86723745	B5	5
0.71	0.79075319	B5	5
0.711	0.58840332	B5	5
0.712	0.26334833	B5	5
0.713	0.05675422	B5	5
0.714	0.00618833	B5	5
0.731	0.00171088	B6	6
0.732	0.05467153	B6	6
0.733	0.25806676	B6	6
0.734	0.64722098	B6	6
0.735	0.89218999	B6	6
0.736	0.90232877	B6	6
0.737	0.91508768	B6	6
0.738	0.94115846	B6	6
0.739	0.96299993	B6	6
0.74	0.97510481	B6	6
0.741	0.9770217	B6	6
0.742	0.98736251	B6	6
0.743	1	B6	6
0.744	0.98880277	B6	6
0.745	0.97179916	B6	6
0.746	0.90126739	B6	6
0.747	0.60672391	B6	6
0.748	0.20520227	B6	6
0.749	0.0267569	B6	6
0.769	0.00045899	B7	7
0.77	0.0117201	B7	7
0.771	0.05219715	B7	7
0.772	0.16561733	B7	7
0.773	0.36903355	B7	7
0.774	0.63685453	B7	7
0.775	0.86119638	B7	7
0.776	0.97002897	B7	7
0.777	0.99119602	B7	7
0.778	0.99897921	B7	7
0.779	1	B7	7
0.78	0.97725155	B7	7
