S2B/MSI RSR			
converted to text file			
source: https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-2-msi/document-library/-/asset_publisher/Wk0TKajiISaR/content/sentinel-2a-spectral-responses			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.411	6.24E-03	B1	1
0.412	1.02E-02	B1	1
0.413	4.03E-03	B1	1
0.414	6.42E-03	B1	1
0.415	5.53E-03	B1	1
0.416	6.55E-03	B1	1
0.417	4.10E-03	B1	1
0.418	6.30E-03	B1	1
0.419	4.37E-03	B1	1
0.42	2.33E-03	B1	1
0.421	5.82E-04	B1	1
0.422	2.02E-03	B1	1
0.423	2.94E-03	B1	1
0.424	4.85E-03	B1	1
0.425	3.17E-03	B1	1
0.426	2.38E-03	B1	1
0.427	2.35E-03	B1	1
0.428	4.40E-03	B1	1
0.429	1.29E-02	B1	1
0.43	0.05001678	B1	1
0.431	0.18650104	B1	1
0.432	0.45441623	B1	1
0.433	0.72307877	B1	1
0.434	0.83999211	B1	1
0.435	0.86456334	B1	1
0.436	0.87472096	B1	1
0.437	0.89215296	B1	1
0.438	0.91090814	B1	1
0.439	0.92588017	B1	1
0.44	0.93924094	B1	1
0.441	0.94491826	B1	1
0.442	0.95078529	B1	1
0.443	0.96803023	B1	1
0.444	0.99939195	B1	1
0.445	1	B1	1
0.446	0.97548364	B1	1
0.447	0.96148351	B1	1
0.448	0.94986211	B1	1
0.449	0.91841452	B1	1
0.45	0.87989802	B1	1
0.451	0.80383677	B1	1
0.452	0.59752075	B1	1
0.453	0.30474132	B1	1
0.454	0.10798014	B1	1
0.455	0.0304465	B1	1
0.456	0.00885119	B1	1
0.456	0.05529541	B2	2
0.457	0.12005068	B2	2
0.458	0.25199051	B2	2
0.459	0.4623617	B2	2
0.46	0.65162379	B2	2
0.461	0.77642171	B2	2
0.462	0.82319091	B2	2
0.463	0.83083116	B2	2
0.464	0.83382106	B2	2
0.465	0.837526	B2	2
0.466	0.86304286	B2	2
0.467	0.88226141	B2	2
0.468	0.90486326	B2	2
0.469	0.92043837	B2	2
0.47	0.93602675	B2	2
0.471	0.930533	B2	2
0.472	0.92714067	B2	2
0.473	0.9161479	B2	2
0.474	0.90551724	B2	2
0.475	0.89745515	B2	2
0.476	0.90266694	B2	2
0.477	0.90854264	B2	2
0.478	0.92047913	B2	2
0.479	0.92417935	B2	2
0.48	0.91845025	B2	2
0.481	0.90743244	B2	2
0.482	0.89733983	B2	2
0.483	0.88646415	B2	2
0.484	0.87189983	B2	2
0.485	0.85643973	B2	2
0.486	0.84473414	B2	2
0.487	0.84190734	B2	2
0.488	0.85644111	B2	2
0.489	0.87782724	B2	2
0.49	0.90261174	B2	2
0.491	0.91840544	B2	2
0.492	0.94585847	B2	2
0.493	0.96887192	B2	2
0.494	0.99336135	B2	2
0.495	0.99927899	B2	2
0.496	1	B2	2
0.497	0.99520325	B2	2
0.498	0.98412711	B2	2
0.499	0.97947473	B2	2
0.5	0.97808297	B2	2
0.501	0.97213439	B2	2
0.502	0.96277794	B2	2
0.503	0.95342234	B2	2
0.504	0.93802376	B2	2
0.505	0.92460144	B2	2
0.506	0.90932642	B2	2
0.507	0.90192251	B2	2
0.508	0.89184298	B2	2
0.509	0.88963556	B2	2
0.51	0.89146958	B2	2
0.511	0.89877911	B2	2
0.512	0.91056869	B2	2
0.513	0.92427362	B2	2
0.514	0.93823555	B2	2
0.515	0.95311791	B2	2
0.516	0.97150808	B2	2
0.517	0.98737003	B2	2
0.518	0.99658514	B2	2
0.519	0.99367959	B2	2
0.52	0.98144714	B2	2
0.521	0.95874415	B2	2
0.522	0.89291635	B2	2
0.523	0.73566218	B2	2
0.524	0.52060373	B2	2
0.525	0.3322804	B2	2
0.526	0.19492197	B2	2
0.527	0.11732617	B2	2
0.528	0.07507304	B2	2
0.529	0.05094154	B2	2
0.53	0.03213016	B2	2
0.531	0.01510217	B2	2
0.532	0.00447984	B2	2
0.536	0.00188039	B3	3
0.537	0.01545903	B3	3
0.538	0.03660414	B3	3
0.539	0.08100583	B3	3
0.54	0.16917887	B3	3
0.541	0.33278274	B3	3
0.542	0.58622794	B3	3
0.543	0.80916412	B3	3
0.544	0.913051	B3	3
0.545	0.94472284	B3	3
0.546	0.94898813	B3	3
0.547	0.94369132	B3	3
0.548	0.92845674	B3	3
0.549	0.91256938	B3	3
0.55	0.90078036	B3	3
0.551	0.89958598	B3	3
0.552	0.90547138	B3	3
