L8/OLI RSR			
converted to text file			
source: https://landsat.gsfc.nasa.gov/satellites/landsat-8/spacecraft-instruments/operational-land-imager/spectral-response-of-the-operational-land-imager-in-band-band-average-relative-spectral-response/			
datasets: wavelength, rsr, band			
wavelength	rsr	band	id
0.427	7.30E-05	CA	1
0.428	6.09E-04	CA	1
0.429	1.63E-03	CA	1
0.43	3.42E-03	CA	1
0.431	8.02E-03	CA	1
0.432	2.48E-02	CA	1
0.433	8.57E-02	CA	1
0.434	2.54E-01	CA	1
0.435	5.18E-01	CA	1
0.436	7.65E-01	CA	1
0.437	9.09E-01	CA	1
0.438	9.58E-01	CA	1
0.439	9.77E-01	CA	1
0.44	9.84E-01	CA	1
0.441	9.89E-01	CA	1
0.442	9.87E-01	CA	1
0.443	9.94E-01	CA	1
0.444	9.93E-01	CA	1
0.445	1.00E+00	CA	1
0.446	0.996969	CA	1
0.447	0.98278	CA	1
0.448	0.972692	CA	1
0.449	0.905808	CA	1
0.45	0.745606	CA	1
0.451	0.471329	CA	1
0.452	0.226412	CA	1
0.453	0.09286	CA	1
0.454	0.036603	CA	1
0.455	0.014537	CA	1
0.456	0.005829	CA	1
0.457	0.002414	CA	1
0.458	0.000984	CA	1
0.459	0.000255	CA	1
0.436	0.00001	Blue	2
0.437	0.000061	Blue	2
0.438	0.000117	Blue	2
0.439	0.000241	Blue	2
0.44	0.000349	Blue	2
0.441	0.000455	Blue	2
0.442	0.000756	Blue	2
0.443	0.001197	Blue	2
0.444	0.00207	Blue	2
0.445	0.003712	Blue	2
0.446	0.006869	Blue	2
0.447	0.013212	Blue	2
0.448	0.02717	Blue	2
0.449	0.058606	Blue	2
0.45	0.130876	Blue	2
0.451	0.27137	Blue	2
0.452	0.493542	Blue	2
0.453	0.723971	Blue	2
0.454	0.85751	Blue	2
0.455	0.894222	Blue	2
0.456	0.903034	Blue	2
0.457	0.910928	Blue	2
0.458	0.90988	Blue	2
0.459	0.899475	Blue	2
0.46	0.897977	Blue	2
0.461	0.889667	Blue	2
0.462	0.883542	Blue	2
0.463	0.877453	Blue	2
0.464	0.881011	Blue	2
0.465	0.874721	Blue	2
0.466	0.879688	Blue	2
0.467	0.886569	Blue	2
0.468	0.891913	Blue	2
0.469	0.88768	Blue	2
0.47	0.861157	Blue	2
0.471	0.848533	Blue	2
0.472	0.840828	Blue	2
0.473	0.828339	Blue	2
0.474	0.844202	Blue	2
0.475	0.865864	Blue	2
0.476	0.868497	Blue	2
0.477	0.890253	Blue	2
0.478	0.912538	Blue	2
0.479	0.910385	Blue	2
0.48	0.918822	Blue	2
0.481	0.931726	Blue	2
0.482	0.931813	Blue	2
0.483	0.954248	Blue	2
0.484	0.955545	Blue	2
0.485	0.96242	Blue	2
0.486	0.956424	Blue	2
0.487	0.953352	Blue	2
0.488	0.978564	Blue	2
0.489	0.989104	Blue	2
0.49	0.985615	Blue	2
0.491	0.989469	Blue	2
0.492	0.982262	Blue	2
0.493	0.968801	Blue	2
0.494	0.967332	Blue	2
0.495	0.976836	Blue	2
0.496	0.988729	Blue	2
0.497	0.980826	Blue	2
0.498	0.967361	Blue	2
0.499	0.954754	Blue	2
0.5	0.964132	Blue	2
0.501	0.966125	Blue	2
0.502	0.966772	Blue	2
0.503	0.981834	Blue	2
0.504	0.98232	Blue	2
0.505	0.965685	Blue	2
0.506	0.963135	Blue	2
0.507	0.972261	Blue	2
0.508	0.996498	Blue	2
0.509	1	Blue	2
0.51	0.9556	Blue	2
0.511	0.844893	Blue	2
0.512	0.534592	Blue	2
0.513	0.190738	Blue	2
0.514	0.048329	Blue	2
0.515	0.013894	Blue	2
0.516	0.005328	Blue	2
0.517	0.002611	Blue	2
0.518	0.001557	Blue	2
0.519	0.0011	Blue	2
0.52	0.000785	Blue	2
0.521	0.000516	Blue	2
0.522	0.000321	Blue	2
0.523	0.000162	Blue	2
0.524	0.000072	Blue	2
0.525	0.000057	Blue	2
0.526	0.000023	Blue	2
0.527	0.000032	Blue	2
0.528	-0.000016	Blue	2
0.512	-0.000046	Green	3
0.513	0.000016	Green	3
0.514	0.00011	Green	3
0.515	0.000247	Green	3
0.516	0.000362	Green	3
0.517	0.000648	Green	3
0.518	0.000935	Green	3
0.519	0.001332	Green	3
0.52	0.001816	Green	3
0.521	0.002515	Green	3
0.522	0.003446	Green	3
0.523	0.00488	Green	3
0.524	0.007024	Green	3
0.525	0.010441	Green	3
0.526	0.016247	Green	3
0.527	0.025513	Green	3
0.528	0.041451	Green	3
0.529	0.070551	Green	3
0.53	0.123444	Green	3
0.531	0.21168	Green	3
0.532	0.353885	Green	3
0.533	0.545856	Green	3
0.534	0.741205	Green	3
0.535	0.865225	Green	3
0.536	0.927396	Green	3
0.537	0.954627	Green	3
0.538	0.954163	Green	3
0.539	0.959215	Green	3
0.54	0.961328	Green	3
0.541	0.964902	Green	3
0.542	0.969873	Green	3
0.543	0.952489	Green	3
0.544	0.961397	Green	3
0.545	0.97827	Green	3
0.546	0.977533	Green	3
0.547	0.977001	Green	3
0.548	0.980884	Green	3
0.549	0.990784	Green	3
0.55	1	Green	3
0.551	0.992264	Green	3
0.552	0.982642	Green	3
0.553	0.983832	Green	3
0.554	0.977765	Green	3
0.555	0.965081	Green	3
0.556	0.957314	Green	3
0.557	0.946245	Green	3
0.558	0.947871	Green	3
0.559	0.959038	Green	3
0.56	0.966534	Green	3
0.561	0.977656	Green	3
0.562	0.966447	Green	3
0.563	0.953399	Green	3
0.564	0.958314	Green	3
0.565	0.970039	Green	3
0.566	0.978607	Green	3
0.567	0.983397	Green	3
0.568	0.98096	Green	3
0.569	9.75E-01	Green	3
0.57	9.67E-01	Green	3
0.571	9.79E-01	Green	3
0.572	9.78E-01	Green	3
0.573	9.76E-01	Green	3
0.574	9.74E-01	Green	3
0.575	9.80E-01	Green	3
0.576	9.69E-01	Green	3
0.577	9.69E-01	Green	3
0.578	9.68E-01	Green	3
0.579	9.83E-01	Green	3
0.58	9.80E-01	Green	3
0.581	9.64E-01	Green	3
0.582	9.69E-01	Green	3
0.583	9.84E-01	Green	3
0.584	9.87E-01	Green	3
0.585	9.74E-01	Green	3
0.586	9.46E-01	Green	3
0.587	9.04E-01	Green	3
0.588	8.09E-01	Green	3
0.589	6.85E-01	Green	3
0.59	5.25E-01	Green	3
0.591	3.45E-01	Green	3
0.592	1.90E-01	Green	3
0.593	8.78E-02	Green	3
0.594	3.54E-02	Green	3
0.595	1.41E-02	Green	3
0.596	5.94E-03	Green	3
0.597	2.57E-03	Green	3
0.598	1.05E-03	Green	3
0.599	3.94E-04	Green	3
0.6	8.50E-05	Green	3
0.601	-8.40E-05	Green	3
0.602	-1.94E-04	Green	3
0.603	-2.34E-04	Green	3
0.604	-2.92E-04	Green	3
0.605	-3.07E-04	Green	3
0.606	-3.43E-04	Green	3
0.607	-0.000348	Green	3
0.608	-0.000329	Green	3
0.609	-0.000351	Green	3
0.61	-0.000317	Green	3
0.625	-0.000342	Red	4
0.626	0.00027	Red	4
0.627	0.000895	Red	4
0.628	0.00185	Red	4
0.629	0.003648	Red	4
0.63	0.007197	Red	4
0.631	0.014515	Red	4
0.632	0.030432	Red	4
0.633	0.066861	Red	4
0.634	0.148518	Red	4
0.635	0.299778	Red	4
0.636	0.526812	Red	4
0.637	0.764443	Red	4
0.638	0.905473	Red	4
0.639	0.947949	Red	4
0.64	0.950823	Red	4
0.641	0.947418	Red	4
0.642	0.951831	Red	4
0.643	0.962705	Red	4
0.644	0.975075	Red	4
0.645	0.984173	Red	4
0.646	0.983613	Red	4
0.647	0.983434	Red	4
0.648	0.982911	Red	4
0.649	0.973636	Red	4
0.65	0.959441	Red	4
0.651	0.955641	Red	4
0.652	0.955548	Red	4
0.653	0.953337	Red	4
0.654	0.956628	Red	4
0.655	0.981688	Red	4
0.656	1	Red	4
0.657	0.992388	Red	4
0.658	0.984615	Red	4
0.659	0.981568	Red	4
0.66	0.97696	Red	4
0.661	0.97298	Red	4
0.662	0.98108	Red	4
0.663	0.996804	Red	4
0.664	0.992142	Red	4
0.665	0.980678	Red	4
0.666	0.964002	Red	4
0.667	0.962154	Red	4
0.668	0.970778	Red	4
0.669	0.96718	Red	4
0.67	0.966928	Red	4
0.671	0.949928	Red	4
0.672	0.848855	Red	4
0.673	0.609359	Red	4
0.674	0.31635	Red	4
0.675	0.123946	Red	4
0.676	0.046033	Red	4
0.677	0.017702	Red	4
0.678	0.007333	Red	4
0.679	0.003205	Red	4
0.68	0.001402	Red	4
0.681	0.000554	Red	4
0.682	0.000117	Red	4
0.683	-0.000122	Red	4
0.684	-0.000289	Red	4
0.685	-0.000376	Red	4
0.686	-0.000396	Red	4
0.687	-0.000458	Red	4
0.688	-0.000488	Red	4
0.689	-0.000457	Red	4
0.69	-0.000429	Red	4
0.691	-0.000417	Red	4
0.829	-0.000034	Nir	5
0.83	0.000011	Nir	5
0.831	0.00005	Nir	5
0.832	0.0001	Nir	5
0.833	0.000239	Nir	5
0.834	0.000314	Nir	5
0.835	0.000495	Nir	5
0.836	0.000719	Nir	5
0.837	0.000986	Nir	5
0.838	0.001445	Nir	5
0.839	0.002107	Nir	5
0.84	0.00316	Nir	5
0.841	0.004744	Nir	5
0.842	0.007059	Nir	5
0.843	0.0109	Nir	5
0.844	0.017346	Nir	5
0.845	0.028332	Nir	5
0.846	0.048191	Nir	5
0.847	0.084363	Nir	5
0.848	0.145365	Nir	5
